koi_period,pl_orbper,koi_prad,pl_rade,pl_orbeccen,st_mass,koi_steff,st_teff,koi_srad,st_rad,koi_kepmag,label
12.07134205,8.20075,1.29,2.42,0.079,0.866,3713.0,5274.0,0.47,0.841458,15.847,1.0
20.99587872,8.20075,1.3,2.42,0.079,0.866,3713.0,5274.0,0.47,0.841458,15.847,1.0
7.41113177,8.20075,2.45,2.42,0.079,0.866,5849.0,5274.0,0.919,0.841458,15.031,1.0
1.000747038,8.20075,4.14,2.42,0.079,0.866,5472.0,5274.0,0.79,0.841458,15.419,2.0
8.884922995,8.20075,10.51,2.42,0.079,0.866,5332.0,5274.0,0.843,0.841458,15.264,1.0
8.09888906,8.20075,8.95,2.42,0.079,0.866,6214.0,5274.0,1.076,0.841458,15.261,1.0
10.00653012,8.20075,3.52,2.42,0.079,0.866,6063.0,5274.0,1.001,0.841458,15.063,1.0
17.855221681,8.20075,13.16,2.42,0.079,0.866,6823.0,5274.0,1.367,0.841458,11.353,1.0
12.732624065,8.20075,4.87,2.42,0.079,0.866,3950.0,5274.0,0.541,0.841458,15.75,0.0
83.92494032,8.20075,4.78,2.42,0.079,0.866,3960.0,5274.0,0.509,0.841458,15.754,0.0
5.007316661,8.20075,6.96,2.42,0.079,0.866,5865.0,5274.0,0.827,0.841458,15.813,1.0
2.211116989,8.20075,1.85,2.42,0.079,0.866,4500.0,5274.0,0.646,0.841458,15.791,1.0
27.9541337,8.20075,1.9,2.42,0.079,0.866,4500.0,5274.0,0.646,0.841458,15.791,1.0
12.69104387,8.20075,2.57,2.42,0.079,0.866,5869.0,5274.0,1.626,0.841458,12.935,1.0
4.409409243,8.20075,10.95,2.42,0.079,0.866,5600.0,5274.0,0.975,0.841458,15.403,2.0
16.23947096,8.20075,4.14,2.42,0.079,0.866,5191.0,5274.0,0.837,0.841458,15.258,1.0
6.308201629,8.20075,2.96,2.42,0.079,0.866,5191.0,5274.0,0.837,0.841458,15.258,1.0
2.052349884,8.20075,13.12,2.42,0.079,0.866,5855.0,5274.0,1.08,0.841458,15.257,1.0
9.7704486,8.20075,2.23,2.42,0.079,0.866,3906.0,5274.0,0.509,0.841458,15.777,1.0
5.169804269,8.20075,1.66,2.42,0.079,0.866,3906.0,5274.0,0.509,0.841458,15.777,1.0
21.22261195,8.20075,2.48,2.42,0.079,0.866,5945.0,5274.0,1.302,0.841458,12.365,1.0
20.09017037,8.20075,2.25,2.42,0.079,0.866,3906.0,5274.0,0.509,0.841458,15.777,1.0
7.11373257,8.20075,1.16,2.42,0.079,0.866,3561.0,5274.0,0.411,0.841458,15.234,1.0
3.306551643,8.20075,0.91,2.42,0.079,0.866,3561.0,5274.0,0.411,0.841458,15.234,1.0
15.36845737,8.20075,1.11,2.42,0.079,0.866,3561.0,5274.0,0.411,0.841458,15.234,1.0
13.81020318,8.20075,4.56,2.42,0.079,0.866,5942.0,5274.0,1.142,0.841458,15.425,1.0
4.093578461,8.20075,2.85,2.42,0.079,0.866,6077.0,5274.0,0.999,0.841458,15.399,1.0
105.145959,8.20075,3.43,2.42,0.079,0.866,6077.0,5274.0,0.999,0.841458,15.399,1.0
